Number,Time,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
754587,04-07-19 22:25,33,19,60,36,66,6,27,5,56,13,1,15,46,62,53,17,80,41,58,45
754588,04-07-19 22:30,51,48,32,74,78,63,79,12,29,10,67,75,64,1,31,42,52,25,2,30
754589,04-07-19 22:35,32,8,67,1,52,34,2,17,68,38,29,27,25,10,28,24,14,57,55,9
754590,04-07-19 22:40,67,54,80,15,23,18,75,61,2,17,77,45,19,9,52,3,74,48,57,70
754591,04-07-19 22:45,63,74,61,64,2,20,68,37,31,66,9,62,53,76,12,24,17,51,59,55
754592,04-07-19 22:50,72,58,43,55,70,65,53,59,22,12,67,40,35,51,61,48,52,49,46,80
754593,04-07-19 22:55,11,57,40,37,24,75,61,74,47,43,25,34,1,49,78,41,63,16,29,56
754594,04-07-19 23:00,6,33,56,72,5,3,65,9,68,55,42,52,38,53,4,69,51,8,75,46
754595,04-07-19 23:05,28,17,52,11,77,50,80,75,42,38,24,4,12,65,10,14,20,40,49,29
754596,04-07-19 23:10,57,78,68,45,46,52,59,2,39,33,4,20,21,48,65,13,71,3,28,44
754597,04-07-19 23:15,23,1,78,70,49,14,3,25,67,4,5,44,77,41,60,24,45,37,33,76
754598,04-07-19 23:20,66,33,65,25,74,3,77,79,50,55,46,38,59,70,4,21,54,5,11,28
754599,04-07-19 23:25,10,12,7,27,57,19,47,31,45,29,53,54,80,9,6,51,75,32,60,5
754600,04-07-19 23:30,67,19,11,53,48,77,5,44,63,8,21,33,25,61,14,49,80,74,3,75
754601,04-07-19 23:35,52,3,64,66,48,27,44,17,40,30,53,7,71,5,65,33,47,25,35,70
754602,04-07-19 23:40,68,11,31,72,7,6,25,54,42,55,2,50,19,20,29,75,57,37,1,70
754603,04-07-19 23:45,24,80,14,22,55,56,28,11,17,63,34,32,45,51,48,67,6,27,49,12
754604,04-07-19 23:50,13,54,63,26,77,18,12,62,78,48,76,32,65,40,38,46,20,71,2,15
754605,04-07-19 23:55,30,64,35,52,80,46,77,55,57,63,53,12,72,78,13,6,66,36,75,29
754606,05-07-19 9:00,26,45,79,40,10,13,68,31,32,28,9,42,49,78,80,52,24,34,8,64
754607,05-07-19 9:05,48,71,64,13,39,3,15,49,50,46,26,73,56,75,53,7,61,54,78,32
754608,05-07-19 9:10,64,29,24,28,15,53,27,18,70,40,52,58,33,19,21,14,79,78,77,1
754609,05-07-19 9:15,21,53,55,26,27,73,4,13,20,43,46,5,78,3,74,48,47,25,38,32
754610,05-07-19 9:20,35,27,11,36,30,39,23,54,24,72,14,73,49,40,79,10,64,3,61,28
754611,05-07-19 9:25,17,41,43,52,42,38,46,68,64,62,36,53,16,75,51,55,57,44,9,56
754612,05-07-19 9:30,34,45,25,14,41,19,30,35,23,28,36,20,7,46,21,53,69,5,73,3
754613,05-07-19 9:35,2,37,30,25,69,26,8,52,23,10,14,33,73,35,32,40,78,72,62,60
754614,05-07-19 9:40,42,11,56,41,44,25,53,61,4,14,29,80,7,54,40,57,52,43,68,8
754615,05-07-19 9:45,26,4,63,27,47,67,11,32,70,1,19,54,46,5,35,56,53,37,12,59
754616,05-07-19 9:50,44,63,9,8,16,75,32,13,56,3,64,78,1,70,27,74,24,50,59,42
754617,05-07-19 9:55,6,18,10,8,66,53,5,17,70,33,21,75,39,37,68,43,2,45,24,49
754618,05-07-19 10:00,2,31,75,10,4,47,64,20,74,59,68,6,28,69,71,70,58,53,3,8
754619,05-07-19 10:05,13,53,16,67,21,52,39,31,30,38,74,64,55,36,5,14,28,35,4,11
754620,05-07-19 10:10,6,10,62,54,8,36,47,15,72,39,68,21,64,43,66,77,61,41,65,49
754621,05-07-19 10:15,20,69,37,65,49,47,54,71,35,38,32,1,18,70,26,66,48,53,39,80
754622,05-07-19 10:20,33,61,21,43,30,26,2,22,36,31,32,13,28,38,55,4,63,6,20,34
754623,05-07-19 10:25,32,56,20,57,59,51,54,73,52,64,79,48,30,72,5,1,19,77,15,78
754624,05-07-19 10:30,69,66,78,75,37,32,19,16,50,63,67,6,74,54,24,51,20,28,62,80
754625,05-07-19 10:35,76,32,59,77,53,25,21,75,20,47,39,1,3,61,46,22,41,67,18,34
754626,05-07-19 10:40,62,21,53,65,7,61,39,31,25,67,20,80,76,70,41,60,49,10,69,78
754627,05-07-19 10:45,72,13,65,59,28,76,25,21,29,26,52,17,3,20,49,31,46,80,62,40
754628,05-07-19 10:50,60,50,71,51,18,8,59,26,47,66,22,15,65,4,11,32,79,38,58,46
754629,05-07-19 10:55,79,57,34,36,63,39,43,54,45,19,67,37,71,2,70,17,33,52,48,10
754630,05-07-19 11:00,52,50,17,20,18,38,46,2,9,68,43,16,67,79,74,33,78,44,29,53
754631,05-07-19 11:05,63,4,25,20,2,77,18,29,1,6,76,12,9,37,40,75,32,43,22,46
754632,05-07-19 11:10,30,6,23,67,57,72,29,21,47,49,73,26,58,38,80,3,34,16,50,4
754633,05-07-19 11:15,5,21,11,44,38,46,68,50,40,47,66,69,54,80,30,31,7,59,51,1
754634,05-07-19 11:20,42,55,43,3,38,34,56,72,12,65,51,17,60,45,58,25,32,14,66,49
754635,05-07-19 11:25,22,3,65,71,31,7,35,20,73,67,66,48,18,45,76,53,64,10,62,12
754636,05-07-19 11:30,51,19,74,21,71,75,69,27,10,9,70,16,33,43,15,31,50,28,8,24
754637,05-07-19 11:35,44,46,34,47,69,75,19,45,27,61,13,64,58,21,32,68,38,17,11,20
754638,05-07-19 11:40,11,38,34,2,57,60,15,1,7,36,40,75,4,76,21,20,14,10,12,72
754639,05-07-19 11:45,77,52,9,36,51,41,25,16,56,42,18,74,72,57,10,45,54,34,60,35
754640,05-07-19 11:50,62,51,76,70,39,3,57,18,20,43,77,59,50,31,63,25,40,65,10,12
754641,05-07-19 11:55,23,44,48,52,31,41,36,66,64,15,55,3,75,49,63,26,46,60,16,28
754642,05-07-19 12:00,34,44,80,9,73,64,33,14,56,31,53,24,72,27,63,15,67,37,41,39
754643,05-07-19 12:05,10,8,41,73,53,31,49,23,32,17,63,12,26,50,61,75,51,13,37,77
754644,05-07-19 12:10,42,39,50,2,52,53,49,9,64,72,70,32,5,14,79,28,31,23,20,41
754645,05-07-19 12:15,42,10,77,7,45,16,75,74,23,55,46,17,59,26,44,31,28,22,8,33
754646,05-07-19 12:20,58,45,12,67,62,33,65,52,23,66,21,39,70,1,35,40,63,8,75,53
754647,05-07-19 12:25,80,12,56,6,20,33,37,11,7,53,42,13,23,73,29,17,57,38,51,32
754648,05-07-19 12:30,9,39,58,70,19,35,26,47,23,29,48,64,38,28,1,79,80,43,21,11
754649,05-07-19 12:35,66,64,18,53,43,63,52,7,36,44,47,12,76,74,5,41,9,14,11,42
754650,05-07-19 12:40,48,19,5,78,16,33,39,53,9,29,79,15,64,51,2,18,55,66,8,42
754651,05-07-19 12:45,39,14,22,62,7,47,74,66,35,1,8,59,34,46,18,57,79,17,9,29
754652,05-07-19 12:50,37,52,67,76,40,32,26,44,19,31,41,27,33,78,46,16,73,55,58,49
754653,05-07-19 12:55,22,66,70,47,73,55,28,26,34,3,25,61,32,9,19,42,39,75,46,13
754654,05-07-19 13:00,55,3,41,4,22,28,37,46,16,2,25,5,73,13,49,65,15,33,35,58
754655,05-07-19 13:05,36,23,34,26,50,4,5,45,15,58,14,44,72,24,13,31,69,74,70,77
754656,05-07-19 13:10,48,45,17,20,52,29,16,61,35,60,18,66,22,33,24,72,57,3,32,74
754657,05-07-19 13:15,14,29,30,77,75,18,33,21,16,4,15,19,23,43,68,61,10,1,47,49
754658,05-07-19 13:20,50,77,47,18,36,33,13,76,30,32,64,73,52,17,51,4,68,80,63,59
754659,05-07-19 13:25,13,56,44,24,2,71,69,30,53,43,41,26,52,65,31,80,4,34,21,11
754660,05-07-19 13:30,37,74,61,13,3,25,14,60,19,56,71,69,79,28,32,65,73,76,42,78
754661,05-07-19 13:35,6,12,25,13,18,37,34,10,35,11,73,16,27,28,2,58,52,54,72,71
754662,05-07-19 13:40,68,64,47,3,78,51,32,28,71,65,74,57,13,42,36,79,4,30,14,37
754663,05-07-19 13:45,61,71,48,25,56,2,44,7,59,8,62,57,29,30,39,80,55,46,63,36
754664,05-07-19 13:50,28,66,54,45,76,30,44,55,62,57,9,29,26,63,3,47,69,6,74,18
754665,05-07-19 13:55,65,39,29,73,4,50,74,20,27,52,28,34,53,49,8,33,59,1,7,55
754666,05-07-19 14:00,37,50,25,24,3,5,70,63,65,16,53,19,43,78,44,23,22,11,71,38
754667,05-07-19 14:05,58,17,67,27,50,57,66,22,31,6,41,25,45,44,19,54,14,28,76,60
754668,05-07-19 14:10,55,1,79,65,25,71,35,21,39,4,66,19,64,45,63,34,12,17,49,2
754669,05-07-19 14:15,67,25,23,50,12,14,7,51,48,1,3,61,68,35,42,57,58,38,77,5
754670,05-07-19 14:20,50,68,38,64,29,34,9,55,18,5,28,49,25,52,13,44,60,65,79,59
754671,05-07-19 14:25,24,19,60,21,62,10,50,47,42,41,17,56,76,29,11,53,33,74,51,9
754672,05-07-19 14:30,45,56,50,48,60,53,15,27,58,8,10,31,33,7,35,42,24,19,13,26
754673,05-07-19 14:35,17,36,68,67,73,66,39,74,60,49,18,3,48,65,61,8,12,35,75,41
754674,05-07-19 14:40,42,37,15,54,31,66,8,65,24,14,61,47,10,16,39,80,78,70,45,28
754675,05-07-19 14:45,41,46,2,30,32,17,70,37,42,62,73,59,55,12,1,22,10,34,44,67
754676,05-07-19 14:50,10,60,29,32,11,21,62,26,5,17,15,31,77,57,18,61,53,73,6,49
754677,05-07-19 14:55,71,46,42,11,17,29,68,14,43,32,8,33,63,55,31,70,35,22,10,73
754678,05-07-19 15:00,30,6,79,18,27,36,55,22,3,28,78,13,70,34,35,72,8,51,74,2
754679,05-07-19 15:05,37,49,27,74,31,76,61,44,64,6,53,22,18,72,79,56,63,60,47,57
754680,05-07-19 15:10,15,79,20,2,51,39,62,49,54,58,36,72,57,48,71,11,40,52,80,24
754681,05-07-19 15:15,29,80,74,35,78,28,48,70,15,51,4,8,18,16,10,33,63,19,76,52
754682,05-07-19 15:20,2,76,26,11,63,77,71,33,65,54,24,67,14,38,79,75,64,13,44,41
754683,05-07-19 15:25,41,34,12,30,55,59,75,79,33,15,49,58,53,20,78,43,24,18,73,76
754684,05-07-19 15:30,57,67,61,71,66,8,21,69,77,74,36,26,37,55,12,7,29,49,43,10
754685,05-07-19 15:35,69,10,46,8,56,50,79,28,71,62,6,44,76,34,19,54,58,4,32,78
754686,05-07-19 15:40,27,54,57,16,45,28,46,79,22,44,65,56,39,30,1,38,15,51,10,2
754687,05-07-19 15:45,26,43,71,41,65,55,23,51,53,57,2,75,12,25,44,73,61,22,13,31
754688,05-07-19 15:50,38,63,32,51,45,13,69,46,6,67,35,18,29,48,47,49,76,50,57,56
754689,05-07-19 15:55,51,50,49,39,74,57,24,38,3,29,25,72,1,28,52,17,68,27,37,7
754690,05-07-19 16:00,37,44,70,24,30,11,67,5,79,45,23,52,60,12,40,32,49,6,35,46
754691,05-07-19 16:05,47,4,40,59,53,34,39,44,19,38,24,20,7,35,75,66,55,1,42,8
754692,05-07-19 16:10,52,42,1,63,2,49,18,25,45,24,65,72,21,80,34,58,16,55,14,64
754693,05-07-19 16:15,47,64,62,13,27,45,16,5,37,15,58,79,25,14,30,7,61,74,78,52
754694,05-07-19 16:20,56,12,60,14,69,61,70,46,27,17,47,15,1,72,23,36,40,8,42,26
754695,05-07-19 16:25,77,32,33,26,64,34,69,43,36,39,51,71,10,1,52,7,38,12,31,16
754696,05-07-19 16:30,64,15,18,6,43,47,1,8,58,55,76,54,23,63,4,33,75,10,22,50
754697,05-07-19 16:35,57,23,52,34,78,9,46,29,36,44,32,77,64,79,6,71,27,42,50,54
754698,05-07-19 16:40,17,52,13,26,71,64,21,42,53,29,66,47,75,9,39,62,60,51,12,16
754699,05-07-19 16:45,23,33,26,51,35,79,19,24,74,16,34,12,58,75,44,14,48,17,53,45
754700,05-07-19 16:50,8,23,25,65,50,76,67,29,61,73,69,31,2,11,5,40,60,72,27,35
754701,05-07-19 16:55,8,20,67,27,75,58,31,68,66,6,52,60,37,48,16,4,65,21,80,29
754702,05-07-19 17:00,6,56,59,70,52,1,37,40,64,71,38,72,67,43,26,5,11,16,68,66
754703,05-07-19 17:05,17,71,37,38,64,3,63,54,62,36,10,45,35,56,26,27,58,23,52,30
754704,05-07-19 17:10,79,76,65,35,55,61,9,54,62,57,21,45,66,10,59,67,17,69,75,16
754705,05-07-19 17:15,24,26,33,68,29,18,36,38,19,21,44,43,74,65,71,53,28,6,50,13
754706,05-07-19 17:20,31,3,78,14,15,45,65,28,64,66,38,8,17,35,4,23,50,7,79,2
754707,05-07-19 17:25,72,80,57,13,61,45,19,10,75,3,77,60,14,53,15,31,7,12,26,34
754708,05-07-19 17:30,33,80,35,40,72,59,65,69,67,49,76,14,16,42,8,9,34,7,63,44
754709,05-07-19 17:35,53,59,76,57,30,74,46,18,79,33,25,32,31,40,70,12,45,14,6,67
754710,05-07-19 17:40,38,61,60,29,66,49,19,42,37,24,73,74,59,45,2,44,72,78,62,39
754711,05-07-19 17:45,14,10,15,45,24,58,70,25,5,40,41,56,34,64,9,28,22,20,19,36
754712,05-07-19 17:50,71,17,50,70,16,11,5,73,35,44,24,38,34,23,75,37,53,56,64,72
754713,05-07-19 17:55,33,13,77,57,48,9,25,73,2,65,5,66,16,1,39,45,4,23,47,24
754714,05-07-19 18:00,48,56,24,68,28,27,34,3,37,49,64,4,43,80,42,70,44,8,53,18
754715,05-07-19 18:05,73,47,3,56,49,25,61,52,36,54,4,62,77,65,24,42,13,17,58,72
754716,05-07-19 18:10,77,53,48,2,29,43,33,54,32,8,74,49,45,80,67,11,76,21,72,40
754717,05-07-19 18:15,12,78,60,69,4,68,63,66,59,76,21,1,25,58,73,42,41,53,62,22
754718,05-07-19 18:20,20,7,35,16,41,36,1,60,30,59,32,80,10,74,45,29,42,47,27,63
754719,05-07-19 18:25,23,59,22,30,77,67,39,45,27,37,4,33,49,71,34,57,5,75,70,41
754720,05-07-19 18:30,13,9,24,11,29,54,58,74,59,49,12,33,22,34,42,23,53,78,57,38
754721,05-07-19 18:35,62,58,17,41,20,60,55,14,56,24,67,69,43,63,35,78,27,66,11,38
754722,05-07-19 18:40,36,71,4,34,50,2,49,9,57,73,63,58,17,18,7,41,1,64,72,51
754723,05-07-19 18:45,67,15,62,68,23,54,61,18,26,49,79,66,64,63,21,50,74,2,16,33
754724,05-07-19 18:50,62,17,66,3,77,13,54,4,33,2,42,12,23,51,40,11,27,15,80,45
754725,05-07-19 18:55,15,59,24,48,65,7,2,28,50,21,4,31,6,26,12,34,61,17,39,60
754726,05-07-19 19:00,32,70,52,17,23,47,3,38,64,42,76,66,80,51,9,74,58,71,2,10
754727,05-07-19 19:05,50,20,15,13,36,70,19,42,60,11,73,33,46,21,69,5,2,17,26,24
754728,05-07-19 19:10,5,74,10,32,27,14,6,65,54,17,71,53,36,16,23,3,2,48,59,49
754729,05-07-19 19:15,44,23,9,36,25,62,31,70,60,73,51,4,12,69,74,61,58,33,43,30
754730,05-07-19 19:20,17,39,64,58,77,14,8,31,67,3,50,59,6,18,71,45,63,15,22,32
754731,05-07-19 19:25,55,39,56,19,8,57,5,21,60,31,30,79,22,69,51,80,38,44,36,73
754732,05-07-19 19:30,33,54,20,35,79,21,62,19,37,58,73,49,67,60,63,77,1,75,8,55
754733,05-07-19 19:35,6,24,20,71,65,51,42,8,31,30,79,59,17,72,36,75,69,16,80,33
754734,05-07-19 19:40,67,5,70,68,36,59,13,76,45,15,40,1,48,9,71,58,2,33,78,66
754735,05-07-19 19:45,54,19,80,45,37,17,21,41,48,44,75,25,9,7,65,61,10,68,74,62
754736,05-07-19 19:50,70,26,22,10,27,56,36,72,55,34,44,3,7,63,76,12,62,66,38,47
754737,05-07-19 19:55,40,29,35,9,12,11,14,58,79,52,43,30,77,47,75,61,19,45,41,76
754738,05-07-19 20:00,36,45,8,48,62,64,58,75,56,7,30,6,26,10,1,54,29,79,16,73
754739,05-07-19 20:05,59,51,25,26,37,34,8,65,38,76,62,1,13,27,32,22,28,74,7,47
754740,05-07-19 20:10,31,35,20,57,37,8,19,9,47,52,16,63,76,25,65,56,45,15,18,42
754741,05-07-19 20:15,3,47,24,80,20,41,66,17,26,31,58,33,7,68,18,48,53,38,15,52
754742,05-07-19 20:20,20,15,59,18,54,46,40,57,39,32,29,64,63,28,25,24,56,78,11,68
754743,05-07-19 20:25,45,6,37,54,9,4,28,71,64,25,23,69,80,15,32,40,65,66,76,27
754744,05-07-19 20:30,18,76,50,80,4,71,29,72,42,56,61,6,70,46,1,32,79,74,35,10
754745,05-07-19 20:35,39,64,7,27,65,20,37,74,76,61,14,23,70,80,50,42,17,15,22,62
754746,05-07-19 20:40,22,56,10,20,25,5,3,69,46,77,76,49,29,12,72,19,48,16,15,50
754747,05-07-19 20:45,4,44,46,17,52,7,55,33,76,70,20,69,30,43,48,77,42,5,38,67
754748,05-07-19 20:50,52,14,65,45,69,40,48,54,50,41,37,76,11,72,30,75,31,53,80,24
754749,05-07-19 20:55,48,26,44,14,54,18,11,38,47,4,20,34,35,17,80,5,63,60,24,57
754750,05-07-19 21:00,28,30,32,17,16,6,48,4,59,3,19,22,51,15,12,40,74,49,36,64
754751,05-07-19 21:05,23,30,1,43,35,76,12,54,65,71,24,58,66,70,21,33,77,78,61,27
754752,05-07-19 21:10,70,1,35,60,19,66,54,72,53,11,18,69,74,10,23,30,51,3,6,56
754753,05-07-19 21:15,74,48,28,47,57,55,23,46,18,78,30,66,11,49,32,20,33,58,51,71
754754,05-07-19 21:20,20,64,39,48,76,4,51,18,63,26,19,69,12,25,23,17,33,9,14,35
754755,05-07-19 21:25,48,21,26,6,10,2,17,28,41,1,58,76,29,45,11,46,59,60,67,63
754756,05-07-19 21:30,3,58,65,75,74,5,6,55,73,12,51,33,57,29,10,20,38,30,39,11
754757,05-07-19 21:35,26,34,54,66,13,37,30,2,10,69,46,8,11,17,33,18,31,68,32,39
754758,05-07-19 21:40,13,63,70,36,21,51,79,39,35,37,24,31,62,9,68,10,71,3,11,38
754759,05-07-19 21:45,61,24,39,7,76,41,60,22,54,58,11,32,40,23,34,67,21,30,15,73
754760,05-07-19 21:50,24,41,80,79,77,8,73,19,69,63,51,54,5,26,31,61,44,71,6,2
754761,05-07-19 21:55,25,27,63,70,39,18,59,54,73,42,71,36,8,46,56,69,80,51,47,13
754762,05-07-19 22:00,15,68,35,47,49,25,77,43,5,59,17,42,21,29,39,33,73,51,36,64
754763,05-07-19 22:05,36,51,3,52,25,30,17,48,53,76,72,60,26,77,46,73,5,45,54,35
754764,05-07-19 22:10,47,43,58,46,20,72,15,73,25,10,32,62,17,24,26,8,59,54,5,28
754765,05-07-19 22:15,58,73,67,63,54,66,55,16,25,47,76,11,28,6,40,34,24,26,65,29
754766,05-07-19 22:20,67,54,1,10,34,75,66,52,43,29,80,62,35,72,13,20,65,5,46,55
754767,05-07-19 22:25,16,59,7,15,47,51,31,27,34,42,70,79,48,52,22,1,23,72,56,44
754768,05-07-19 22:30,53,13,16,65,73,75,76,4,2,35,34,72,38,74,36,3,69,78,70,33
754769,05-07-19 22:35,36,61,55,65,15,32,52,29,18,37,68,51,43,4,10,78,35,11,27,31
754770,05-07-19 22:40,77,10,68,40,14,39,45,65,31,44,1,35,5,43,59,33,4,12,34,58
754771,05-07-19 22:45,70,38,28,60,47,21,44,67,56,57,22,79,59,43,69,55,17,5,40,68
754772,05-07-19 22:50,31,41,75,17,42,11,38,73,26,58,80,53,47,57,65,34,68,50,28,16
754773,05-07-19 22:55,21,79,77,62,9,34,75,6,43,42,26,2,38,39,12,61,52,72,53,8
754774,05-07-19 23:00,22,71,24,18,4,35,23,55,19,68,51,29,47,27,40,59,72,45,16,2
754775,05-07-19 23:05,3,48,33,69,9,78,29,74,32,70,55,79,51,28,72,46,80,44,45,63
754776,05-07-19 23:10,75,80,6,38,26,61,63,20,12,54,17,66,51,21,3,23,74,60,44,27
754777,05-07-19 23:15,26,14,13,4,39,40,60,18,17,29,67,64,73,56,23,65,54,9,3,57
754778,05-07-19 23:20,5,3,73,48,23,12,10,68,32,13,8,65,35,41,16,71,60,19,15,17
754779,05-07-19 23:25,74,69,31,33,2,60,18,10,34,56,30,49,36,17,26,21,65,20,12,62
754780,05-07-19 23:30,67,17,75,21,35,59,70,56,39,36,74,32,52,41,28,58,38,22,15,44
754781,05-07-19 23:35,42,3,16,20,45,21,53,59,61,4,68,43,55,10,18,33,25,19,73,9
754782,05-07-19 23:40,38,40,59,80,8,55,70,58,50,35,10,2,37,72,52,36,13,54,49,7
754783,05-07-19 23:45,63,3,41,14,58,80,42,45,6,65,56,17,74,25,13,5,78,31,61,68
754784,05-07-19 23:50,77,8,43,34,44,37,78,3,69,30,27,18,26,63,47,12,10,51,73,22
754785,05-07-19 23:55,25,59,34,49,53,23,52,47,63,21,6,36,68,30,67,7,8,70,57,37
754786,06-07-19 9:00,78,7,70,10,25,57,32,29,12,19,40,3,8,38,72,59,2,76,67,43
754787,06-07-19 9:05,43,35,12,52,18,70,39,66,77,33,67,46,22,50,16,13,63,9,20,53
754788,06-07-19 9:10,8,54,73,60,49,3,7,23,55,48,80,25,21,79,43,33,19,64,30,76
754789,06-07-19 9:15,48,49,70,57,8,23,45,13,36,9,35,24,67,46,31,54,28,61,6,68
754790,06-07-19 9:20,50,26,45,27,2,41,19,46,79,22,25,5,12,38,71,44,47,78,51,35
754791,06-07-19 9:25,1,37,32,78,72,56,6,5,73,14,76,71,8,44,2,40,15,58,25,9
754792,06-07-19 9:30,21,34,67,40,59,51,50,37,56,49,44,14,65,27,26,32,70,80,12,2
754793,06-07-19 9:35,58,1,30,54,77,64,76,31,3,71,79,52,73,70,67,45,51,24,7,39
754794,06-07-19 9:40,44,62,57,38,65,67,1,43,56,11,40,29,70,20,54,3,46,21,7,16
754795,06-07-19 9:45,50,38,58,78,16,57,10,76,64,19,35,27,3,20,48,46,60,55,13,40
754796,06-07-19 9:50,69,63,11,23,15,32,48,1,30,21,16,53,59,52,46,37,13,2,66,29
754797,06-07-19 9:55,74,51,42,36,8,38,62,20,10,71,50,63,30,46,73,52,66,12,28,69
754798,06-07-19 10:00,74,67,60,44,70,25,73,78,10,69,23,65,80,32,4,14,52,12,50,71
754799,06-07-19 10:05,71,39,1,73,26,24,30,58,16,4,53,5,50,13,41,8,11,32,29,12
754800,06-07-19 10:10,58,43,53,78,74,52,35,16,13,31,50,26,5,44,75,30,33,11,64,60
754801,06-07-19 10:15,37,2,25,17,74,67,28,33,75,55,7,70,56,31,41,62,9,12,20,4
754802,06-07-19 10:20,36,31,29,23,77,42,52,10,33,63,24,56,74,7,32,80,40,39,13,25
754803,06-07-19 10:25,43,65,62,64,56,13,35,72,52,57,75,2,11,54,70,80,27,76,41,59
754804,06-07-19 10:30,26,68,5,23,37,79,41,69,55,73,52,66,49,64,51,76,80,74,45,30
754805,06-07-19 10:35,30,75,68,57,25,6,69,78,63,44,28,56,50,64,9,51,2,65,10,72
754806,06-07-19 10:40,44,55,54,65,50,31,79,78,14,45,66,48,1,3,75,67,29,33,24,11
754807,06-07-19 10:45,47,46,6,34,70,22,1,79,30,18,7,80,74,20,39,71,24,28,16,38
754808,06-07-19 10:50,63,56,20,16,42,38,12,23,46,67,71,58,69,47,11,24,60,31,52,48
754809,06-07-19 10:55,69,50,28,25,52,45,63,75,66,22,60,34,39,21,16,5,35,78,30,79
754810,06-07-19 11:00,32,29,54,60,12,39,58,62,21,66,22,68,69,7,73,6,51,37,61,40
754811,06-07-19 11:05,19,10,32,51,28,13,79,40,8,49,62,77,75,30,7,66,15,46,60,61
754812,06-07-19 11:10,49,6,58,2,72,60,62,7,40,75,34,77,45,28,43,24,39,47,21,80
754813,06-07-19 11:15,24,4,72,56,50,67,21,63,9,47,59,10,3,23,41,25,33,37,70,58
754814,06-07-19 11:20,51,80,11,36,26,38,12,52,23,79,44,77,20,47,19,34,32,10,25,17
754815,06-07-19 11:25,14,53,27,63,11,15,21,45,39,41,7,65,70,19,10,26,55,4,36,76
754816,06-07-19 11:30,35,22,51,21,75,41,27,45,78,66,32,40,49,14,10,56,71,47,2,43
754817,06-07-19 11:35,61,42,25,43,67,28,38,6,53,65,2,26,39,23,31,30,9,75,44,12
754818,06-07-19 11:40,46,55,80,18,44,19,13,21,64,69,57,53,16,74,48,3,70,60,75,79
754819,06-07-19 11:45,24,16,7,77,58,30,31,36,20,72,23,65,42,37,69,19,46,11,6,71
754820,06-07-19 11:50,5,9,40,47,23,17,7,63,60,55,22,58,41,8,33,72,53,24,67,20
754821,06-07-19 11:55,55,29,25,38,4,18,46,75,22,17,69,58,54,37,35,61,49,62,1,76
754822,06-07-19 12:00,75,77,38,23,62,21,73,78,45,32,53,22,67,7,43,49,2,60,68,34
754823,06-07-19 12:05,35,77,37,9,23,65,78,34,22,43,76,68,36,38,48,28,60,39,33,11
754824,06-07-19 12:10,27,72,58,45,14,80,41,44,16,2,17,75,4,3,42,67,18,60,64,51
754825,06-07-19 12:15,80,71,11,28,66,21,68,3,61,42,25,49,73,54,29,31,77,1,27,58
754826,06-07-19 12:20,80,29,68,10,17,34,63,56,78,74,37,76,49,61,3,64,4,51,71,42
754827,06-07-19 12:25,51,29,1,73,72,43,14,71,8,58,36,15,40,2,27,64,12,63,26,3
754828,06-07-19 12:30,23,35,7,58,41,62,75,21,49,72,76,33,70,43,77,53,42,11,67,48
754829,06-07-19 12:35,56,8,62,42,33,17,58,46,52,63,70,25,74,76,9,67,19,2,69,32
754830,06-07-19 12:40,59,29,51,44,17,7,80,19,73,40,58,69,18,33,52,42,27,50,32,71
754831,06-07-19 12:45,40,1,4,79,68,51,42,6,38,58,5,73,54,34,44,50,21,24,43,33
754832,06-07-19 12:50,7,24,53,2,80,11,73,47,34,43,23,70,46,14,77,25,62,17,29,12
754833,06-07-19 12:55,76,63,33,64,39,52,67,50,46,18,70,32,41,44,31,24,75,9,56,61
754834,06-07-19 13:00,25,78,29,42,55,77,58,60,6,32,8,10,45,35,72,61,73,7,15,51
754835,06-07-19 13:05,70,13,58,16,25,37,49,43,50,44,4,36,2,29,5,56,62,9,73,69
754836,06-07-19 13:10,48,57,79,51,68,25,74,34,59,66,80,58,61,73,20,42,30,3,44,7
754837,06-07-19 13:15,53,30,22,16,7,44,41,80,27,13,43,77,3,39,23,65,69,20,45,49
754838,06-07-19 13:20,17,3,26,36,14,11,65,42,15,32,59,30,51,80,50,8,55,68,47,76
754839,06-07-19 13:25,20,75,63,4,62,67,43,49,18,34,56,33,54,73,24,71,22,44,50,28
754840,06-07-19 13:30,42,19,31,24,41,67,18,68,20,37,33,2,70,39,28,11,44,73,5,1
754841,06-07-19 13:35,35,51,61,47,23,30,66,8,60,58,16,64,49,18,46,56,1,37,3,73
754842,06-07-19 13:40,80,36,72,76,17,79,27,11,44,43,19,50,9,63,28,32,75,6,8,66
754843,06-07-19 13:45,54,1,70,20,13,35,31,48,16,18,49,73,63,74,65,46,23,5,12,75
754844,06-07-19 13:50,39,77,16,26,59,57,1,15,64,5,17,71,11,2,50,7,9,53,75,21
754845,06-07-19 13:55,27,18,26,34,14,66,40,69,54,70,16,10,50,47,5,65,80,45,15,12
754846,06-07-19 14:00,80,32,78,36,58,48,13,75,16,31,57,33,41,77,17,26,37,11,76,27
754847,06-07-19 14:05,75,33,30,49,66,39,9,23,37,80,52,26,14,41,16,22,25,12,21,34
754848,06-07-19 14:10,40,1,61,22,14,58,57,10,53,12,26,75,77,31,70,32,18,27,6,29
754849,06-07-19 14:15,69,60,49,76,56,2,11,44,22,59,12,29,75,39,24,8,77,36,80,30
